NAICS,Demand for,Demand met In-region,% Demand met In-region,Demand met by Imports,% Demand met by Imports,Total Demand
813940,Political Organizations,"$250,834",97.4%,"$6,776",2.6%,"$257,610"
325315,Compost Manufacturing,"$141,942",55.1%,"$115,471",44.9%,"$257,413"
327910,Abrasive Product Manufacturing,$323,0.1%,"$253,450",99.9%,"$253,773"
424520,Livestock Merchant Wholesalers,$148,0.1%,"$253,367",99.9%,"$253,515"
334514,Totalizing Fluid Meter and Counting Device Manufacturing,"$5,582",2.2%,"$246,743",97.8%,"$252,325"
339992,Musical Instrument Manufacturing,$191,0.1%,"$249,609",99.9%,"$249,801"
424440,Poultry and Poultry Product Merchant Wholesalers,"$25,021",10.0%,"$224,679",90.0%,"$249,700"
331315,"Aluminum Sheet, Plate, and Foil Manufacturing","$6,254",2.5%,"$241,328",97.5%,"$247,582"
327410,Lime Manufacturing,$0,0.0%,"$246,104",100.0%,"$246,104"
541870,Advertising Material Distribution Services,"$4,853",2.0%,"$238,923",98.0%,"$243,777"
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","$1,439",0.6%,"$242,229",99.4%,"$243,668"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","$1,730",0.7%,"$241,844",99.3%,"$243,574"
561492,Court Reporting and Stenotype Services,"$19,387",8.0%,"$223,147",92.0%,"$242,534"
812191,Diet and Weight Reducing Centers,"$4,219",1.8%,"$236,335",98.2%,"$240,554"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","$5,247",2.2%,"$234,782",97.8%,"$240,028"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","$5,916",2.5%,"$233,894",97.5%,"$239,810"
316990,Other Leather and Allied Product Manufacturing,"$4,568",1.9%,"$234,470",98.1%,"$239,039"
711120,Dance Companies,$723,0.3%,"$237,710",99.7%,"$238,433"
712120,Historical Sites,"$4,586",1.9%,"$232,755",98.1%,"$237,341"
611511,Cosmetology and Barber Schools,"$11,079",4.7%,"$224,136",95.3%,"$235,215"
339930,"Doll, Toy, and Game Manufacturing","$7,024",3.0%,"$226,840",97.0%,"$233,864"
334210,Telephone Apparatus Manufacturing,"$1,083",0.5%,"$232,070",99.5%,"$233,153"
532210,Consumer Electronics and Appliances Rental,$684,0.3%,"$230,836",99.7%,"$231,520"
221117,Biomass Electric Power Generation,"$2,330",1.0%,"$227,209",99.0%,"$229,539"
